id,date,circumplex.arousal_avg,circumplex.valence_avg,mood_avg,circumplex.arousal_std,circumplex.valence_std,mood_std,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms
AS14.01,2014-02-26,,,,,,,-0.06095590177095803,0.028546541742397184,0.424983849744974,0.25636505949984933,0.014680474996566772,-1.7244265708901778,-0.6260952432272486,-0.03987986364548281,0.39045048910456615,-0.9112204004051381,-0.8232035178500592,2.005613481587289,0.35692035573683173,,-2.68731222661969,
AS14.01,2014-02-27,,,,,,,-0.06095590177095803,0.02451603286698788,0.3275668446448642,0.25636505949984933,0.046527713537216187,-1.7244265708901778,-0.6260952432272486,-0.03987986364548281,0.39045048910456615,-0.9112204004051381,-0.8232035178500592,2.005613481587289,0.35692035573683173,0.008365176618099213,-2.618524465801678,-0.086159348487854
AS14.17,2014-03-04,,,,,0.7393492044099846,,0.23285196695151122,-0.0376758270154373,0.310919631841899,0.6151424190862264,-0.033602505922317505,4.95351739350609,0.5745473393043449,-0.5997664938456176,0.31579106382575717,0.7220763226809914,1.941784971533704,-0.6269970754119228,1.6003214769371625e-16,,-2.7775987732071674,-0.42786499857902527
AS14.08,2014-03-05,,,,,,,-0.7237590719428959,-0.0716362639383308,0.4105175728072975,-1.3753594547259937,0.05410155653953552,1.8985401140679927e-15,-0.6418512771533341,-0.47059828002914794,0.16348909204916012,1.967071726476189,-0.16500138188721408,-0.7158738303514767,1.6003214769371625e-16,0.03360377997159958,-2.688183479767774,-0.04752323403954506
AS14.17,2014-03-05,,,,,,,0.23285196695151122,-0.3910542055920926,0.3436444389685462,0.6151424190862264,-0.01837828755378723,4.95351739350609,0.5745473393043449,-0.5997664938456176,0.31579106382575717,0.7220763226809914,1.941784971533704,-0.6269970754119228,1.6003214769371625e-16,,-2.610296833829244,
AS14.08,2014-03-06,,,,,,,-0.7237590719428959,-0.0064141129369420305,0.3271228226985954,-1.3753594547259937,0.006273835897445679,1.8985401140679927e-15,-0.6418512771533341,-0.47059828002914794,0.16348909204916012,1.967071726476189,-0.16500138188721408,-0.7158738303514767,1.6003214769371625e-16,0.040191225707530975,-2.579670355205082,
AS14.17,2014-03-06,,,,,,,0.23285196695151122,0.04373866934815661,0.34563455051685277,0.6151424190862264,0.005337923765182495,4.95351739350609,0.5745473393043449,-0.5997664938456176,0.31579106382575717,0.7220763226809914,1.941784971533704,-0.6269970754119228,1.6003214769371625e-16,,-2.6593693313494833,-0.2125074565410614
AS14.08,2014-03-07,,,,,,,-0.7237590719428959,-0.26713104005576127,0.3311405404196168,-1.3753594547259937,-0.007649809122085571,1.8985401140679927e-15,-0.6418512771533341,-0.47059828002914794,0.16348909204916012,1.967071726476189,-0.16500138188721408,-0.7158738303514767,1.6003214769371625e-16,0.01849135011434555,-2.6038154668492495,
AS14.17,2014-03-07,,,,,,,0.23285196695151122,-0.32576046549904886,0.3233256459308198,0.6151424190862264,0.015289634466171265,4.95351739350609,0.5745473393043449,-0.5997664938456176,0.31579106382575717,0.7220763226809914,1.941784971533704,-0.6269970754119228,1.6003214769371625e-16,0.01851438730955124,-2.6094827541658367,-0.3112076222896576
AS14.17,2014-03-08,,,,,,,0.23285196695151122,0.024108031281330718,0.3124019007879025,0.6151424190862264,0.02599748969078064,4.95351739350609,0.5745473393043449,-0.5997664938456176,0.31579106382575717,0.7220763226809914,1.941784971533704,-0.6269970754119228,1.6003214769371625e-16,0.06289761513471603,-2.633579249841619,-0.16344311833381653
